                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.73806,                0.47417,                0.88552,                0.62002,                0.70152,                0.76708,                0.50403,                 1.4067,                 1.2093,                 1.2881,             0.00015141,             0.00015141,             0.00015141
                     77,                 0.7141,                 0.4748,                0.88549,                0.63853,                0.71259,                 0.7717,                0.50674,                 1.3888,                 1.2162,                 1.2822,             0.00014559,             0.00014559,             0.00014559
                     78,                0.66953,                 0.4405,                0.85468,                0.64081,                0.70898,                0.77034,                0.51116,                 1.3637,                 1.2216,                 1.2647,             0.00013977,             0.00013977,             0.00013977
                     79,                 0.7075,                0.49756,                0.86075,                0.66303,                0.71954,                0.77309,                  0.514,                 1.3485,                 1.2444,                 1.2537,             0.00013395,             0.00013395,             0.00013395
                     80,                0.68211,                0.45777,                  0.885,                0.65771,                0.73869,                0.77462,                0.51891,                 1.3501,                  1.231,                  1.252,             0.00012813,             0.00012813,             0.00012813
                     81,                0.66785,                0.44554,                 0.8672,                0.62346,                0.74228,                 0.7715,                0.52555,                 1.3413,                 1.2014,                 1.2473,              0.0001223,              0.0001223,              0.0001223
                     82,                0.63839,                0.42004,                0.84542,                 0.6908,                0.69506,                0.77716,                0.53063,                 1.3264,                 1.1595,                 1.2349,             0.00011648,             0.00011648,             0.00011648
                     83,                0.62456,                0.40106,                0.87539,                0.62239,                0.79753,                0.78869,                 0.5396,                 1.3163,                 1.1091,                 1.2223,             0.00011066,             0.00011066,             0.00011066
                     84,                0.60063,                0.37934,                0.85299,                   0.68,                0.85593,                0.81499,                0.56032,                 1.3031,                 1.0571,                 1.2263,             0.00010484,             0.00010484,             0.00010484
                     85,                0.59871,                0.42272,                0.85304,                 0.6798,                0.87338,                 0.8264,                 0.5631,                 1.3163,                 1.0436,                 1.2304,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     86,                0.60082,                0.41163,                0.86248,                0.65403,                0.87338,                0.81602,                0.55845,                 1.3192,                  1.044,                  1.227,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     87,                 0.5734,                0.38406,                0.82658,                0.64291,                0.86699,                0.81562,                0.56501,                 1.3255,                 1.0401,                 1.2217,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     88,                0.57555,                0.39898,                0.86915,                0.63975,                0.80499,                0.81106,                0.55596,                 1.3132,                 1.0419,                 1.1955,             8.1556e-05,             8.1556e-05,             8.1556e-05
                     89,                0.54515,                0.37968,                0.85408,                0.65837,                0.79513,                0.80208,                0.54765,                 1.3196,                 1.0376,                 1.1946,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     90,                0.57669,                   0.41,                 0.8591,                 0.6675,                0.78994,                0.80212,                0.54569,                 1.3247,                 1.0332,                 1.1998,             6.9913e-05,             6.9913e-05,             6.9913e-05
                     91,                0.54631,                 0.3463,                0.82824,                0.67152,                0.78865,                0.81509,                0.55466,                 1.3294,                 1.0422,                 1.2051,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     92,                0.51459,                0.33558,                0.86686,                0.67011,                0.79727,                0.80837,                0.54919,                 1.3337,                 1.0598,                 1.2169,             5.8271e-05,             5.8271e-05,             5.8271e-05
                     93,                0.54574,                0.35712,                0.84037,                0.67386,                0.79526,                0.80911,                0.54735,                 1.3344,                 1.0718,                 1.2194,              5.245e-05,              5.245e-05,              5.245e-05
                     94,                0.54248,                0.35791,                0.85114,                0.65117,                0.79392,                0.79379,                0.53375,                 1.3321,                 1.0716,                 1.2228,             4.6628e-05,             4.6628e-05,             4.6628e-05
                     95,                0.54172,                0.34935,                0.83518,                0.64182,                0.79351,                0.79287,                0.53564,                 1.3302,                 1.0808,                 1.2227,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     96,                0.54198,                0.34259,                0.85078,                0.63939,                0.77672,                0.80464,                0.54623,                 1.3173,                 1.0824,                 1.2279,             3.4986e-05,             3.4986e-05,             3.4986e-05
                     97,                0.51797,                0.34704,                0.85292,                0.65406,                0.78024,                0.78373,                0.52709,                 1.3128,                 1.0853,                 1.2261,             2.9165e-05,             2.9165e-05,             2.9165e-05
                     98,                0.47679,                0.32498,                0.82767,                 0.6619,                0.77683,                0.78152,                0.52233,                 1.3102,                 1.0865,                 1.2269,             2.3344e-05,             2.3344e-05,             2.3344e-05
                     99,                0.49467,                 0.3275,                0.82994,                0.65155,                0.78012,                0.78152,                0.52697,                 1.3106,                 1.0882,                 1.2279,             1.7522e-05,             1.7522e-05,             1.7522e-05
                    100,                0.49824,                0.33408,                0.83085,                0.66244,                0.77696,                0.78381,                0.52924,                 1.3132,                  1.104,                 1.2314,             1.1701e-05,             1.1701e-05,             1.1701e-05
