                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.73615,                0.46815,                0.87592,                0.77651,                0.91372,                0.93068,                0.62502,                 1.3285,                0.71561,                 1.2364,             0.00025619,             0.00025619,             0.00025619
                     59,                0.75314,                0.51632,                0.87409,                0.82234,                 0.8804,                 0.9428,                0.62713,                 1.3638,                 0.6873,                 1.2479,             0.00025037,             0.00025037,             0.00025037
                     60,                0.72904,                0.45979,                0.88597,                0.86859,                0.90961,                0.95459,                0.62524,                 1.4032,                0.67333,                 1.2854,             0.00024455,             0.00024455,             0.00024455
                     61,                0.69304,                0.45295,                0.87277,                0.87004,                0.91443,                 0.9499,                0.60974,                 1.4047,                0.67378,                 1.2868,             0.00023873,             0.00023873,             0.00023873
                     62,                0.69097,                0.44906,                0.88081,                 0.8476,                0.90427,                0.94411,                0.60554,                 1.4054,                0.66143,                 1.2882,             0.00023291,             0.00023291,             0.00023291
                     63,                0.68828,                0.46532,                0.86642,                0.83148,                0.91233,                 0.9432,                0.61332,                 1.4038,                0.66026,                 1.2923,             0.00022709,             0.00022709,             0.00022709
                     64,                0.71645,                0.45183,                0.86965,                0.95928,                0.85222,                0.96326,                0.63675,                 1.3677,                 0.6346,                 1.2642,             0.00022126,             0.00022126,             0.00022126
                     65,                   0.65,                0.41049,                0.86761,                0.95908,                0.84621,                0.97841,                0.65853,                 1.3478,                0.63072,                 1.2407,             0.00021544,             0.00021544,             0.00021544
                     66,                0.71014,                0.46245,                0.89529,                0.95591,                0.84629,                0.97938,                 0.6436,                 1.3498,                0.63061,                 1.2317,             0.00020962,             0.00020962,             0.00020962
                     67,                0.70413,                0.44648,                0.88662,                0.92483,                 0.8596,                0.98414,                0.65165,                  1.361,                0.63786,                 1.2372,              0.0002038,              0.0002038,              0.0002038
                     68,                0.61999,                0.38983,                0.84301,                0.95057,                0.82636,                0.97642,                 0.6283,                 1.4181,                0.64675,                 1.2851,             0.00019798,             0.00019798,             0.00019798
                     69,                0.64524,                0.39725,                0.87445,                0.76903,                0.96492,                0.97291,                0.64442,                 1.4091,                0.64181,                 1.2809,             0.00019216,             0.00019216,             0.00019216
                     70,                0.65657,                0.42281,                0.86797,                0.78595,                0.96166,                0.97348,                0.64822,                 1.3829,                0.63781,                 1.2658,             0.00018634,             0.00018634,             0.00018634
                     71,                0.61904,                0.39492,                0.85759,                0.80372,                 0.9564,                0.97416,                0.66197,                  1.368,                0.62765,                 1.2648,             0.00018052,             0.00018052,             0.00018052
                     72,                0.63813,                0.40645,                0.86035,                 0.8281,                0.94826,                 0.9772,                0.64536,                 1.3599,                0.60944,                 1.2773,             0.00017469,             0.00017469,             0.00017469
                     73,                0.66541,                0.41177,                0.86433,                0.84178,                0.95554,                0.97879,                0.65078,                 1.3578,                0.60397,                 1.2748,             0.00016887,             0.00016887,             0.00016887
                     74,                0.64382,                 0.3904,                0.84661,                0.84925,                0.95764,                0.97879,                0.65684,                 1.3631,                0.60171,                 1.2625,             0.00016305,             0.00016305,             0.00016305
                     75,                0.65119,                0.42016,                0.87094,                0.85134,                0.96197,                0.98629,                0.65273,                 1.3615,                0.60319,                 1.2518,             0.00015723,             0.00015723,             0.00015723
                     76,                0.63362,                0.40416,                0.86751,                0.83131,                0.96733,                0.98629,                0.65852,                 1.3772,                0.61422,                 1.2695,             0.00015141,             0.00015141,             0.00015141
                     77,                 0.6432,                0.41321,                0.84644,                0.83916,                0.96717,                0.97879,                 0.6548,                 1.3883,                0.61873,                 1.2815,             0.00014559,             0.00014559,             0.00014559
                     78,                0.60305,                0.42203,                0.85077,                0.85132,                0.96478,                0.97879,                0.65244,                 1.3938,                0.61683,                 1.2881,             0.00013977,             0.00013977,             0.00013977
                     79,                0.56095,                0.39119,                 0.8501,                0.84262,                0.95455,                0.96364,                0.63491,                    1.4,                0.61517,                 1.2898,             0.00013395,             0.00013395,             0.00013395
                     80,                0.60255,                0.39199,                0.84088,                0.81904,                0.95455,                0.96356,                0.63525,                 1.4127,                0.60673,                 1.2945,             0.00012813,             0.00012813,             0.00012813
                     81,                0.56238,                 0.3592,                0.83971,                 0.8321,                0.95415,                0.96356,                0.62984,                 1.4128,                0.59784,                 1.2989,              0.0001223,              0.0001223,              0.0001223
                     82,                0.57793,                0.38881,                0.84503,                0.83767,                  0.953,                0.96356,                0.62987,                 1.4101,                0.59983,                 1.3017,             0.00011648,             0.00011648,             0.00011648
                     83,                0.59212,                0.41073,                0.85349,                 0.8606,                0.95084,                0.96356,                0.63238,                 1.4019,                0.59397,                 1.3022,             0.00011066,             0.00011066,             0.00011066
                     84,                0.58835,                0.38611,                0.87108,                 0.8758,                0.92811,                0.95152,                0.61597,                  1.395,                0.60097,                 1.3046,             0.00010484,             0.00010484,             0.00010484
                     85,                0.56157,                0.35808,                0.84648,                0.87509,                0.91534,                0.94848,                0.61454,                 1.3939,                0.59911,                 1.3024,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     86,                0.57453,                0.35274,                0.82624,                0.86816,                0.91538,                0.94848,                0.61275,                 1.3876,                0.60536,                 1.2946,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     87,                0.56421,                0.37784,                0.83044,                0.86597,                 0.9161,                0.94848,                0.61641,                 1.3844,                0.60907,                 1.2898,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     88,                0.55665,                0.35382,                0.84578,                0.85152,                0.92914,                0.94091,                0.61202,                 1.3788,                0.62448,                  1.286,             8.1556e-05,             8.1556e-05,             8.1556e-05
                     89,                0.51615,                 0.3481,                0.82558,                0.84992,                0.93115,                0.94091,                0.61247,                 1.3798,                0.61995,                 1.2866,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     90,                0.52571,                0.37394,                0.84394,                0.84509,                0.93475,                0.93743,                0.61505,                 1.3848,                0.62593,                 1.2871,             6.9913e-05,             6.9913e-05,             6.9913e-05
                     91,                0.46103,                0.30875,                0.82587,                0.84012,                0.93533,                0.93743,                0.61274,                 1.3876,                0.62259,                 1.2892,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     92,                0.46204,                0.30139,                0.82814,                0.83231,                0.94226,                0.93743,                0.62112,                 1.3809,                0.63342,                 1.2795,             5.8271e-05,             5.8271e-05,             5.8271e-05
                     93,                0.48219,                0.32362,                0.84484,                 0.8285,                  0.946,                0.93743,                0.61576,                 1.3741,                0.62959,                 1.2694,              5.245e-05,              5.245e-05,              5.245e-05
                     94,                0.47596,                0.30296,                0.81511,                0.82169,                0.95054,                0.93743,                 0.6181,                 1.3687,                0.62599,                 1.2669,             4.6628e-05,             4.6628e-05,             4.6628e-05
                     95,                 0.4721,                0.30023,                0.84578,                0.80242,                0.95455,                0.93622,                0.61844,                 1.3693,                  0.624,                 1.2688,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     96,                0.44553,                0.30246,                 0.8307,                0.78282,                0.95455,                0.93581,                0.61842,                  1.367,                0.61596,                 1.2769,             3.4986e-05,             3.4986e-05,             3.4986e-05
                     97,                0.41283,                0.27327,                0.82852,                0.90894,                0.86298,                0.93581,                0.61676,                 1.3691,                0.62249,                 1.2802,             2.9165e-05,             2.9165e-05,             2.9165e-05
                     98,                0.44752,                0.29882,                0.82723,                0.90813,                0.86903,                0.93581,                0.60792,                 1.3679,                0.62153,                 1.2834,             2.3344e-05,             2.3344e-05,             2.3344e-05
                     99,                 0.4603,                0.29996,                0.81926,                0.91025,                0.86798,                0.93581,                0.61179,                 1.3694,                0.61964,                 1.2857,             1.7522e-05,             1.7522e-05,             1.7522e-05
                    100,                0.42596,                0.28608,                0.81801,                0.91214,                0.86937,                0.93581,                0.60926,                 1.3698,                0.61721,                 1.2894,             1.1701e-05,             1.1701e-05,             1.1701e-05
