                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 0.4397,                0.27573,                0.83121,                 0.7102,                0.76863,                0.79301,                0.49912,                 1.4551,                 1.1073,                 1.7174,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     87,                0.45142,                0.28824,                0.84044,                0.75997,                0.72677,                0.79697,                0.50504,                 1.4115,                 1.0993,                  1.686,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     88,                0.45285,                0.28895,                0.84937,                 0.7645,                0.73217,                0.79934,                0.50468,                 1.4292,                 1.1333,                 1.6997,             8.1556e-05,             8.1556e-05,             8.1556e-05
                     89,                0.44543,                0.27589,                0.84776,                0.75358,                0.75504,                0.81086,                0.51321,                 1.4436,                 1.1046,                 1.7154,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     90,                0.44962,                0.27694,                0.84061,                0.74466,                0.74102,                0.80093,                0.50842,                 1.4321,                 1.1636,                 1.7009,             6.9913e-05,             6.9913e-05,             6.9913e-05
                     91,                0.39217,                0.23154,                0.83331,                 0.7367,                0.74932,                0.80457,                0.50832,                 1.4371,                 1.1925,                 1.7183,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     92,                0.39616,                0.23028,                0.83341,                0.74512,                0.74145,                0.79962,                0.50114,                 1.4459,                 1.1429,                 1.7249,             5.8271e-05,             5.8271e-05,             5.8271e-05
                     93,                 0.3794,                0.22833,                0.82881,                0.73814,                0.77262,                0.81299,                0.50361,                 1.4519,                 1.0976,                 1.7332,              5.245e-05,              5.245e-05,              5.245e-05
                     94,                0.36346,                0.22222,                0.82072,                0.73596,                0.75339,                0.80253,                0.49885,                 1.4469,                 1.1284,                 1.7323,             4.6628e-05,             4.6628e-05,             4.6628e-05
                     95,                0.36796,                0.22319,                0.82685,                0.72703,                0.75853,                0.79681,                0.49974,                  1.443,                 1.1654,                 1.7232,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     96,                0.35188,                  0.214,                0.81541,                0.70646,                0.76887,                0.79866,                0.50628,                 1.4327,                  1.154,                 1.7146,             3.4986e-05,             3.4986e-05,             3.4986e-05
                     97,                0.35934,                0.21991,                0.82337,                0.74629,                 0.7513,                0.81119,                0.51359,                 1.4314,                 1.1541,                 1.7107,             2.9165e-05,             2.9165e-05,             2.9165e-05
                     98,                0.34446,                 0.2138,                0.82148,                0.76032,                0.72654,                0.81068,                 0.5098,                 1.4368,                 1.1681,                 1.7188,             2.3344e-05,             2.3344e-05,             2.3344e-05
                     99,                0.34641,                0.21167,                0.82008,                 0.7647,                 0.7277,                0.80885,                0.51196,                 1.4252,                 1.1549,                 1.7055,             1.7522e-05,             1.7522e-05,             1.7522e-05
                    100,                0.34859,                 0.2168,                0.81516,                0.75428,                0.73383,                 0.8077,                0.51058,                 1.4242,                 1.1501,                 1.7121,             1.1701e-05,             1.1701e-05,             1.1701e-05
